STA_SEQ,Station_Name,YLat,XLong,BCG,Metric,Yr1,Yr2,Yr3,Yr4,Yr5,Yr6,CountOfSampYr,cntNA,Municipality_Name
14147,Broad Brook,41.9147,-72.549,5,T5,0.71689497716895,0.389473684210526,0.636075949367089,0.38551249429112,0.436132536801775,NA,7,1,EAST WINDSOR
14197,FARMINGTON RIVER,41.7508,-72.8717,5,T5,0.496478873239437,0.205020920502092,NA,0.312545747328356,0.333215073248477,0.181818181818182,7,1,FARMINGTON
14206,French River,41.9548,-71.884,5,T5,0.444067796610169,0.334677419354839,0.364444444444444,0.42977239423754,0.385824513359485,NA,7,1,THOMPSON
14226,Harbor Brook,41.5314,-72.8218,5,T5,0.941031585047812,0.91005291005291,0.642533936651584,0.885844748858447,0.757473544973545,0.552742616033755,8,0,MERIDEN
14254,Housatonic River,41.8906,-73.3576,5,T5,0.355555555555556,0.559471365638767,NA,0.429864253393665,0.160377358490566,0.083333333333333,5,1,CORNWALL
14288,Mattabesset River,41.6189,-72.7127,5,T5,0.891110665214496,0.9,0.605504587155963,0.735575990377527,0.801886626886627,NA,10,1,CROMWELL
14316,Naugatuck River,41.6159,-73.0579,5,T5,0.973074612519524,0.715596330275229,0.654112480999831,0.70646846671453,0.408622620380739,0.364187580142883,13,0,WATERTOWN
14317,Naugatuck River,41.4435,-73.0642,5,T5,0.911559029206088,0.871497171566325,0.923092664973271,0.721525964930087,0.543137895960477,0.497455685744329,16,0,BEACON FALLS
14341,Naugatuck River,41.7891,-73.1145,5,T5,0.769230769230769,0.860986547085202,0.688524590163934,0.84108527131783,0.623325329714306,0.624338624338624,7,0,TORRINGTON
14390,Pequabuck River,41.6742,-72.9619,5,T5,0.732826690002906,0.512157833430402,NA,0.444537037037037,0.612587069900942,0.38135593220339,12,1,BRISTOL
14392,Pequabuck River,41.6738,-72.8977,5,T5,0.874872166073446,0.941966342875048,0.836084905660377,0.790610640011369,0.70626752102523,0.768924302788845,15,0,BRISTOL
14410,Quinebaug River,42.022,-71.9528,5,T5,0.173708920187793,0.393805309734513,NA,0.286932751219645,0.155503875968992,0.125,8,1,THOMPSON
14413,Quinnipiac River,41.528244,-72.856272,5,T5,0.885011101444671,NA,0.570588235294118,0.618888888888889,0.70118327010342,0.658055555555556,13,1,MERIDEN
14414,Quinnipiac River,41.4501,-72.8407,5,T5,0.844384543080087,0.759358288770054,0.788546255506608,0.66070460704607,0.647657420858796,0.469378888120865,13,0,WALLINGFORD
14456,Steele Brook,41.5805,-73.0703,5,T5,NA,0.865275637225845,0.853012968437284,0.72463768115942,0.520270924044509,0.476150487067518,10,1,WATERBURY
14458,Still River,41.4389,-73.401,5,T5,0.506791600212653,0.921182266009852,0.657142857142857,0.786764311971894,0.591234590282814,0.5897977597324,12,0,BROOKFIELD
14479,Trout Brook,41.7314,-72.7231,5,T5,0.723958333333333,0.957142857142857,0.867892976588629,0.638027876014146,0.666010011610423,NA,8,1,WEST HARTFORD
